REF.,PICTURE,ITEM NO.,SEC.,DESCRIPTION,CTN,PACKING,T-PCS,COST,TOTAL,SALE,"WAREHOSE
STOCK",ABUDHABI,AJMAN,AVENUE,AL SAFA,BANIYAS,FAHIDI,SHARJAH
DTD-1229 W.HOUSE,,FH-22015,KITCHEN SEC.,RACK/BX-4303#3层碗架,10,10 ,100 ,32.15,3214.68,59.00,5,,3,5,,,0,39
DTD-1229 W.HOUSE,,FH-22016,KITCHEN SEC.,RACK/BX-4302#2层碗架,10,10 ,100 ,24.07,2406.62,39.00,,20,,5,,,,17
DTD-1229 W.HOUSE,,FH-22017,KITCHEN SEC.,RACK/BX-0851#85CM水槽架,10,10 ,100 ,31.14,3114.32,49.00,2,5,4,16,,,10,14
DTD-1229 W.HOUSE,,FH-22220,KITCHEN SEC.,CUP/纸杯200m1*100只,20,20 ,400 ,5.06,2023.99,10.99,,,,,,,,
DTD-1229 W.HOUSE,,FH-29225,KITCHEN SEC.,LUNCH BOX/216-4饭盒套装,10,48 ,480 ,5.55,2664.80,10.99,,4,1,90,19,88,62,
DTD-1229 W.HOUSE,,FH-29244,KITCHEN SEC.,MEDICINE BOX/彩色英文21格药盒,6,200 ,1200 ,2.32,2780.13,5.99,90,-1,2,128,14,258,12,
DTD-1229 W.HOUSE,,FH-29309,KITCHEN SEC.,HOOK/8021-4粘钩,5,160 ,800 ,0.84,675.77,3.99,12,14,5,14,1,20,4,8
DTD-1229 W.HOUSE,,FH-29326,KITCHEN SEC.,RACK/396印花牙刷架,10,72 ,720 ,2.46,1773.68,4.99,140,42,73,19,62,22,18,-1
DTD-1229 W.HOUSE,,FH-29327,KITCHEN SEC.,RACK/231牙刷架,10,40 ,400 ,3.55,1421.69,6.99,19,88,-7,14,12,15,25,16
DTD-1229 W.HOUSE,,FH-29330,KITCHEN SEC.,RACK/0137扁铁纸巾架,10,100 ,1000 ,2.23,2233.62,5.99,14,258,-9,,4,57,74,28
DTD-1229 W.HOUSE,,FH-29331,KITCHEN SEC.,RACK/0134平口柜门挂篮,10,60 ,600 ,3.50,2099.49,6.99,10,202,82,,18,2,18,28
DTD-1229 W.HOUSE,,FH-29332,KITCHEN SEC.,RACK/0104小号抽屉篮,10,50 ,500 ,3.58,1790.27,6.99,62,22,-2,,25,3,26,-20
DTD-1229 W.HOUSE,,FH-29334,KITCHEN SEC.,RACK/0106大号抽屉篮,10,50 ,500 ,4.44,2218.38,8.99,,,,28,,,,
