REF.,PICTURE,ITEM NO.,SEC.,DESCRIPTION,CTN,PACKING,T-PCS,COST,TOTAL,SALE,"WAREHOSE
STOCK",ABUDHABI,AJMAN,AVENUE,AL SAFA,BANIYAS,FAHIDI,SHARJAH
DTD-1230 W.HOUSE,,FH-32915,TOYS,PLUSH TOY/YJ0718-1#娃娃,5,60 ,300 ,12.43,3730.16,20.99,100,1,4,,90,-1,5,22
DTD-1230 W.HOUSE,,FH-32916,TOYS,PLUSH TOY/YJ0718-2#娃娃,5,60 ,300 ,11.58,3472.88,20.99,50,,28,5,12,14,0,3
DTD-1236 W.HOUSE,,FH-23294,TOYS,TOY/积木#混,2,60 ,120 ,5.58,669.87,10.99,,2,,5,14,4,,17
DTD-1236 W.HOUSE,,FH-26393,TOYS,TOY/拼图玩具#中号字母板混装,2,90 ,180 ,3.01,541.71,5.99,20,5,4,2,2,9,10,14
DTD-1236 W.HOUSE,,FH-26394,TOYS,TOY/拼图玩具#中号字母板混装,2,120 ,240 ,2.94,706.75,5.99,,4,1,9,14,25,6,
DTD-1236 W.HOUSE,,FH-26396,TOYS,TOY/拼图玩具#立体形状拼图,2,60 ,120 ,7.64,916.25,10.99,9,-1,2,12,10,20,12,
DTD-1236 W.HOUSE,,FH-26398,TOYS,TOY/拼图玩具#计算翻架,2,24 ,48 ,14.66,703.86,20.99,7,2,5,2,6,2,4,8
DTD-1236 W.HOUSE,,FH-26401,TOYS,TOY/玩具积木#592,2,60 ,120 ,6.01,721.66,10.99,14,4,7,2,2,5,18,-1
DTD-1236 W.HOUSE,,FH-26409,TOYS,TOY/拼图玩具#单人对战,2,60 ,120 ,12.13,1455.53,20.99,2,8,-7,14,4,57,25,16
DTD-1236 W.HOUSE,,FH-26412,TOYS,TOY/拼图玩具#彩色51粒,2,50 ,100 ,4.75,474.53,9.99,14,2,-9,,18,2,7,28
DTD-1236 W.HOUSE,,FH-26413,TOYS,TOY/拼图玩具#原木51粒,2,50 ,100 ,4.46,446.32,9.99,10,20,8,,2,3,8,3
DTD-1236 W.HOUSE,,FH-26419,TOYS,TOY/拼图玩具#字母磁性走珠,2,20 ,40 ,15.09,603.43,20.99,14,4,,2,2,5,,-1
DTD-1236 W.HOUSE,,FH-26423,TOYS,TOY/拼图玩具#OX棋,2,48 ,96 ,6.67,640.09,10.99,2,8,-7,14,4,57,25,16
DTD-1236 W.HOUSE,,FH-26424,TOYS,TOY/拼图玩具#形状绕珠,2,18 ,36 ,17.65,635.32,29.00,14,2,-9,,18,2,,
DTD-1236 W.HOUSE,,FH-26425,TOYS,TOY/拼图玩具#数字拼图盒,2,120 ,240 ,3.42,820.34,7.99,10,20,8,,2,3,8,3
DTD-1236 W.HOUSE,,FH-26429,TOYS,TOY/拼图玩具#三合一钓鱼,2,27 ,54 ,12.95,699.16,20.99,,3,,-5,,,,5
DTD-1236 W.HOUSE,,FH-26565,TOYS,TOY/玩具积木#597,2,50 ,100 ,10.11,1010.52,20.99,,33,,,,,,
DTD-1236 W.HOUSE,,FH-26570,TOYS,TOY/玩具积木#598,2,200 ,400 ,2.31,924.16,5.99,18,,,54,,,,-7
DTD-1236 W.HOUSE,,FH-26572,TOYS,TOY/玩具积木#601,2,32 ,64 ,14.26,912.48,20.99,26,,,4,,,,-9
DTD-1236 W.HOUSE,,FH-26575,TOYS,TOY/玩具积木#600,2,40 ,80 ,8.54,683.31,15.99,,,,-1,10,1,,
DTD-1236 W.HOUSE,,FH-26579,TOYS,TOY/玩具积木#602,2,32 ,64 ,11.34,725.95,20.99,,,,14,5,,,-2
